Từng cặp một	一一对
Đỗ Tiểu Công	杜小丛
Durr đã tạo điều kiện thuận lợi cho	杜尔为
Durr mua	杜尔买
Durr nổi tiếng với	杜尔以
Dulk	杜尔克
Durce	杜尔切
Durga	杜尔加
Duernan	杜尔南
Durka	杜尔卡
Dure.	杜尔号
Durgi	杜尔吉
Durr đã gửi lời khuyên tới	杜尔向
Durin	杜尔因
Dulcan	杜尔坎
Durse	杜尔塞
Dulf	杜尔夫
Duerning	杜尔宁
Durr đã có những quan điểm đúng đắn về	杜尔对
Durr là	杜尔是
Durman	杜尔曼
Làng Dul	杜尔村
Durdu	杜尔杜
Dulson	杜尔松
Durlin	杜尔林
Dulson	杜尔森
Durban	杜尔班
Durco	杜尔科
Durmi	杜尔米
Dulso	杜尔索
Durna	杜尔纳
Durken	杜尔肯
Của Dur.	杜尔著
Toure cho biết	杜尔说
Durno	杜尔诺
Durgun	杜尔贡
Dursin	杜尔辛
Durda	杜尔达
Durdi	杜尔迪
Durkin	杜尔金
Durmen	杜尔门
Dushanbe	杜尚别
Duchamp trong	杜尚在
Dunich	杜尼奇
Dunia	杜尼娅
Dunigan	杜尼根
Duniper	杜尼珀
Dunitz	杜尼茨
Duney cho biết	杜尼说
Du Bash	杜巴什
Đỗ Bá Dương	杜巴扬
Đỗ Bá Vỹ	杜巴维
Du Barre	杜巴雷
Du Bua	杜布亚
Dubuche	杜布切
Dububo	杜布博
Đỗ Bửu Sơn	杜布松
Dublin	杜布林
Dubson	杜布森
Hồ Đu Bu	杜布湖
Dubois	杜布瓦
Dubna	杜布纳
Dubro	杜布罗
Dubuti	杜布蒂
Dubno	杜布诺
Đỗ Bửu Long	杜布隆
Dubre	杜布雷
Đỗ Hiền Dương	杜希扬
Du Parker	杜帕克
Dupal	杜帕尔
Thành phố Dooku	杜库市
Ducuno	杜库诺
Ducure	杜库雷
Dufferk	杜弗克
Dufran	杜弗兰
Duverny.	杜弗尼
Dufferg.	杜弗格
Dudesh	杜德什
Đỗ Đức Kế	杜德克
Quận Thủ Đức	杜德区
Sau khi Đỗ Đức	杜德后
Đỗ Thế Diệm	杜德姆
Dudney	杜德尼
Thành phố Đức Thọ	杜德市
Cảng Thủ Đức	杜德港
Dudno	杜德诺
Đoàn Thanh tra	杜恩查
Thung lũng Duyên	杜恩谷
Đoàn Ngọc Sinh	杜恩辛
Dugoni	杜戈尼
Núi Dugo	杜戈山
Dugoda	杜戈达
Duzaman	杜扎曼
Huyện Đức Thọ	杜托区
Dura đã tạo điều kiện thuận lợi cho	杜拉为
Durazzo	杜拉佐
Dulac	杜拉克
Duraz	杜拉兹
Dura đến	杜拉到
Dura trong	杜拉在
Durado	杜拉多
Gia đình Dura	杜拉家
Dura rất quan trọng.	杜拉对
Dura sẽ	杜拉将
Bang Dura	杜拉州
Dura đã	杜拉已
Đỗ La Đang	杜拉当
Duras	杜拉斯
Khi Dura	杜拉时
Dura là	杜拉是
Dura có	杜拉有
Làng Dura	杜拉村
Đỗ La Hán	杜拉汉
Durat	杜拉特
Dura, v.v.	杜拉等
Dura cho biết	杜拉说
Đường Dura	杜拉路
Thị xã Dura	杜拉镇
Dura cưỡi ngựa	杜拉骑
Dusca	杜斯卡
Dustan	杜斯坦
Dusky	杜斯基
Pháo đài Dusburg	杜斯堡
Ngày Duss	杜斯日
Dusby	杜斯比
Duslo	杜斯洛
Duss cho biết	杜斯说
Dusda.	杜斯达
Duston	杜斯顿
Du Minni	杜明尼
Du Puy	杜普伊
Dupps	杜普斯
Duplo	杜普洛
Dupree	杜普瑞
Dupp cho biết	杜普说
Dupre	杜普雷
Cúp Du Ben	杜本杯
Duduza	杜杜扎
Đỗ Duy Tú	杜杜杜
Đỗ Duy Tân	杜杜赞
Đỗ Duy Lưu	杜杜鲁
Dulles.	杜来斯
Gin	杜松子
Bệnh Dulin	杜林病
Duchal	杜查尔
Du Ghen rẽ	杜根转
Nước Đức	杜格国
Dougal	杜格尔
Bang Dug	杜格州
Dugli.	杜格莉
Đỗ Sang ở	杜桑于
Đỗ Sơn La	杜桑拉
Dumez	杜梅兹
Dummel	杜梅尔
Du Meru	杜梅鲁
Du Chuni	杜楚尼
Đỗ Thị Lý	杜氏利
Loại Duchenne	杜氏型
Bệnh Duchenne	杜氏病
Đá Du	杜氏石
Dunaliella	杜氏藻
Chuỗi Duchenne	杜氏链
Đỗ Hàm	杜汉姆
Vụ án Dư Hạnh	杜汉案
Duvolle	杜沃勒
Duvov	杜沃夫
Du Boy	杜波伊
Dubov	杜波夫
Duroc.	杜洛克
Duroin	杜洛因
Drouet	杜洛埃
Dulova	杜洛娃
Dulop	杜洛普
Durote	杜洛替
Durobi	杜洛比
Dulo cho biết	杜洛说
Đỗ Hùng cho biết	杜洪说
Du Haira	杜海拉
Làng Tố Hữu	杜湖村
Durington	杜灵顿
Durevo	杜热窝
Du cha cá	杜父鱼
Về phần mình, Dutt	杜特则
Dutein	杜特因
Dutson	杜特森
Duttert	杜特特
Dutty	杜特蒂
ĐỖ TRUNG TRUNG	杜特隆
Du Tre	杜特雷
Du Maggi	杜玛吉
Đỉnh cao Du Kỵ	杜琪峰
Durrett.	杜瑞特
Dewar ở	杜瓦于
Giếng Dewar	杜瓦井
Duvalli	杜瓦利
Dewain	杜瓦因
Duval	杜瓦尔
Bình Dewar	杜瓦瓶
Duvasin	杜瓦辛
Du Zuying	杜祖英
Du Musso	杜穆索
Dolittle.	杜立德
Đỗ Lập	杜立普
Dulittle	杜立特
Dumini	杜米尼
Dumisa	杜米萨
Dumidi	杜米迪
Dusov	杜索夫
Dusoto	杜索托
Dunali	杜纳利
Duna để	杜纳到
Dunace	杜纳塞
Dunav	杜纳夫
Du Nham	杜纳姆
Dunar	杜纳尔
Dunas	杜纳斯
Dunagan	杜纳根
Dunari	杜纳里
Duvinet	杜维内
Du Vinai	杜维奈
Đỗ Việt Minh	杜维明
Douro đã tạo điều kiện thuận lợi cho	杜罗为
Duro Yu	杜罗于
Douro đi từ	杜罗从
Douro nổi tiếng với	杜罗以
Douro trong	杜罗在
Durov	杜罗夫
Douro sẽ	杜罗将
Duroche	杜罗彻
Douro là	杜罗是
Duroti	杜罗替
Douro đã	杜罗有
Sông Douro	杜罗河
Douro kể từ khi	杜罗自
Douro cho biết	杜罗说
Thung lũng Douro	杜罗谷
Douro mất	杜罗输
Đối với Đoàn Thị Nghè	杜耶亚
Duyệt binh	杜耶夫
Đoàn Vũ	杜耶沃
Đỗ Hoàng Anh	杜胡安
Dusuye	杜苏耶
Du Anh	杜英属
Dutsky	杜茨基
Dujul	杜茹尔
Du Modi	杜莫迪
Dulaimi	杜莱米
Quận Duffy	杜菲县
Duffy cho biết	杜菲说
Đỗ Sa Hậu	杜萨侯
ĐỖ SÁCH CỦA CỦA	杜萨古
Dusa.	杜萨号
Sau khi Dusa	杜萨后
Đảo Du Sa	杜萨岛
Bờ biển Đồ Sa	杜萨岸
Thành phố Đồ Sa	杜萨市
Đỗ Sa Bình	杜萨平
Dusa là	杜萨是
Cảng Dusa	杜萨港
Đỗ Sa Hồ	杜萨胡
Hoa Dusa	杜萨花
Dusama	杜萨马
Dutilo	杜蒂洛
Dutillo	杜蒂略
Duti cho biết	杜蒂说
Dumond	杜蒙德
Du Monti	杜蒙蒂
Dumont cho biết	杜蒙说
Durex.	杜蕾斯
Dusito	杜西托
Dusey cho biết	杜西称
Dusey hỏi	杜西问
Tỉnh Ðô	杜角省
Dunoli	杜诺利
Tháp Duno	杜诺塔
Dubero	杜贝罗
Dujar	杜贾尔
Ducht	杜赫特
Duda sẽ	杜达会
Dudea	杜迪亚
Du Địch Nhân Kiệt	杜迪奇
Đỗ Duy Ninh	杜迪宁
Dudolph.	杜道夫
Duria	杜里亚
Durica	杜里察
Du Kim báo cáo với	杜金向
Du Kim đã	杜金有
Du Kim sử dụng	杜金用
Đỗ A Lê	杜阿乐
Duar	杜阿尔
Đảo Dừa	杜阿岛
Douala	杜阿拉
Duana	杜阿纳
Đỗ A Lay	杜阿莱
Duada	杜阿达
Đỗ A Ré	杜阿雷
Đỗ Lương Tân	杜隆坦
Durrell	杜雷尔
Dureza	杜雷扎
Dureira	杜雷拉
Duret	杜雷特
Dureza	杜雷萨
Dukhov	杜霍夫
Đỗ Thanh Lâm	杜青林
Duwek	杜韦克
Du Wayne	杜韦恩
Dumas	杜马斯
Duluk	杜鲁克
Du Ruin	杜鲁因
Tru đã có mặt tại	杜鲁在
Duruf	杜鲁夫
Drum	杜鲁姆
Duluku	杜鲁库
Durus.	杜鲁斯
Dulu là	杜鲁是
Duruti	杜鲁蒂
Truman	杜鲁门
Hoa đỗ quyên	杜鹃花
Chim cu gáy	杜鹃鸟
Dummertz	杜默茨
Đỗ Long Bộ	杜龙博
Chùm và sau	束和后
Chùm và Tuấn	束和团
Chùm và hạt nhân	束和核
Chùm và nặng	束和重
Giữa các cụm	束团间
Chùm dòng chảy	束流线
Cơ thể bó	束状体
Sự bó hẹp	束状化
Bó hoa hồng xanh	束绿萝
Trạng thái ràng buộc	束缚态
Kiềm chế nước	束缚水
Thành phố Sokcho	束草市
Tàu thuyền bó cỏ	束草舰
Thanh và xà	杠和梁
Thanh Liễu Su...	杠柳素
Bài đọc đầu tiên	条一读
Các thanh không đồng đều	条不匀
Các điều khoản không được miễn trừ	条不受
Thanh không hướng tới	条不向
Các thanh không chứa	条不含
Điều khoản không nên	条不应
Không có kinh nghiệm	条不经
Điều khoản không giới hạn	条不限
Trong bài viết	条中以
Trung vị thanh	条中位
Trong bài viết	条中作
Cột trong thanh	条中列
Trong bài viết cần	条中应
Được sử dụng trong thanh	条中用
Trong thanh	条中载
Ví dụ như thanh	条为例
Điều 7	条之七
Điều 9	条之九
Điều 5	条之五
Điều 8	条之八
Điều 6	条之六
Điều 10	条之十
Điều khoản có thể	条之可
Điều 4	条之四
Các điểm thanh	条之处
Tác hại của điều	条之害
Thời điểm các điều	条之时
Bài đọc thứ hai	条二读
Tiểu Á Trung Quốc	条亚中
Kết thúc dải	条亚端
Điều này cũng đã được	条亦经
Điều khoản cũng quy định	条亦订
Câu điều kiện	条件句
Điều kiện	条件性
Những người có điều kiện	条件者
Bài báo tùy chọn	条任择
Trước khi diễn ra hội nghị thanh	条会前
Kinh phí điều	条供资
Trong thanh	条内载
Làm lại bài báo	条再作
Các dải phân cách	条分条
Phương pháp phân chia	条分法
Các đường phân chia	条分线
Biến thể thanh	条变式
Các thanh cho phép	条可使
Các thanh có sẵn	条可供
Điều Đông Bắc	条同北
Bài viết hướng tới điều này	条向本
Các thanh, thiếu	条和以
Ðiều và sau khi	条和后
Điều khoản và điều này	条和本
Các điều, khoản	条和条
Các điều khoản và khoản	条和款
Thanh và giấy bạc	条和箔
Các bài báo và kinh	条和经
Các thanh và bảng	条和表
Điều khoản và những	条和该
Thanh và phi	条和非
Điều khoản kinh doanh	条商营
Một con chó lớn.	条大狗
Một con rắn lớn.	条大蛇
Tio Dae Yin	条大隐
Điều khoản	条寅款
Bài báo này	条对本
Các thanh sẽ	条将会
Các bài viết sẽ được thực hiện	条将作
Điều khoản sẽ được quy định trong	条应于
Điều khoản được hưởng	条应享
Điều khoản nên được thực hiện	条应作
Điều khoản nên giống như	条应同
Điều khoản cần được	条应经
Đoạn trích dẫn thanh	条引段
Biểu đồ thanh	条形图
Mã vạch	条形码
Tiểu blog	条微博
Theo quy định của	条所下
Điều khoản được thực hiện	条所作
được liệt kê trong các điều	条所列
Các điều khoản được ban hành	条所发
Điều khoản nhận	条所受
Trong bài viết có	条所含
Quy định tại Điều	条所定
Điều khoản nên	条所应
Điều khoản nắm giữ	条所持
Như đã đề cập trong điều	条所提
Cấm theo quy định của	条所禁
Như đã nêu trong bài	条所称
Các điều khoản được thiết lập	条所立
Theo quy định của Điều	条所裁
Điều khoản yêu cầu	条所要
Như đã nêu trong bài	条所言
Quy định tại Điều	条所订
Điều khoản đặt ra	条所设
Những tiêu cực của thanh	条所负
Những điều đã được ban	条所赋
Điều khoản bắt đầu	条所起
Trong bài viết có	条所载
Các bài viết được lựa chọn	条所选
Kèm theo đó là các điều	条所附
Chuẩn bị các bài báo	条拟备
Điều khoản phân bổ	条拨出
Các bài báo được cho là	条据信
Điều khoản trao giải	条授标
Điều khoản mới được bổ sung	条新加
Trường hợp mới của Điều	条新案
Bài báo là gì?	条有何
Bài báo không được thực hiện	条未作
Các thanh không được bổ sung	条未加
Thanh chưa đọc	条未读
Điều này lẽ ra phải	条本应
Thông tin liên lạc	条来文
Việc xác nhận các điều	条核证
Phương pháp trồng dải	条植法
Vụ Pháp luật Điều	条法司
Một đường khảo sát	条测线
Chùm chấm thanh	条点束
Tổ chức và hợp lý hóa	条理化
Tổ chức	条理性
Điều A	条甲款
Thanh, v.v.	条等条
Các quốc gia hiệp ước	条约国
Luật điều ước quốc tế	条约法
Đầu mảnh	条细头
Các tác phẩm kinh	条经作
Đối với các thanh	条而为
Được thực hiện bởi các bài báo	条而作
Trong khi các thanh	条而设
Điều thay vì	条而非
Điều này có hiệu lực từ	条自本
Trong bảng thanh	条表中
Điều khoản có tính đến	条计及
Một vạch quang phổ	条谱线
Một con đường sẽ	条路会
Các bài viết được liệt kê	条载列
Bài viết mô tả	条载述
Các bài viết	条辰款
Các mục hàng ngày	条辰项
Bệnh gỉ sắt sọc	条锈病
Người Teutonic	条顿人
Phong cách Teutonic	条顿式
Điều ngụ ý	条默示
Đã quá muộn	来不及
Đến để chỉ	来代指
Đến để trừ đi	来克减
Lại đây, Crewe.	来克鲁
Hãy đến và đi cùng nhau	来共行
Đến để kích thích	来剌激
Hãy đến và hát	来唱出
Vé khứ hồi	来回票
Súng trường	来复枪
Hãy đến và học hỏi	来学得
Để xác định giá trị	来定值
Hãy đến Palestine.	来巴以
Hãy đến với Pardi.	来帕地
Đến nhận được sự quan tâm rộng rãi của	来广受
Đã quá muộn	来得及
Nhanh lên.	来得快
Đến sớm	来得早
Hãy đến Golan.	来戈兰
Đến đây kéo xuống.	来拉下
Hãy đến và giữ lấy	来拉住
Hãy đến và kéo nó ra.	来拉出
Hãy đến và reo lên.	来拉响
Hãy đến và kéo lên.	来拉起
Hãy đến và lắc con chó	来摇狗
Thông tin liên lạc một	来文一
Về thông tin liên lạc	来文上
Giao tiếp và	来文且
Thông tin liên lạc được	来文为
Thông tin liên lạc hai	来文二
Thông tin liên lạc được đưa ra trong	来文于
Thông tin liên lạc năm	来文五
Thông tin liên lạc chỉ	来文仅
Thông tin liên lạc được kết thúc bằng	来文以
Thông tin liên lạc	来文会
Thông tin liên lạc như	来文似
Thông tin liên lạc được thực hiện	来文作
Thông tin liên lạc	来文供
Thông tin liên lạc được thực hiện theo	来文依
Trong thông tin liên lạc	来文内
Quy định về thông tin liên lạc	来文则
Thông tin liên lạc để	来文到
Trước thông tin liên lạc	来文前
Thông tin liên lạc là	来文即
Thông tin liên lạc và	来文及
Sau khi thông tin liên lạc	来文后
Thông tin liên lạc được gửi tới	来文向
Thông tin liên lạc bốn	来文四
Thông tin liên lạc do	来文因
Các thông tin liên lạc đều	来文均
Thông tin liên lạc như	来文如
Thông tin liên lạc thuộc	来文属
Thông tin liên lạc cần được	来文应
Nguồn tin	来文方
Khi thông tin liên lạc	来文时
Thông tin liên lạc đã	来文有
Thông tin liên lạc không	来文未
Quyền giao tiếp	来文权
Thông tin liên lạc đến	来文来
Thông tin liên lạc này	来文此
Thông tin liên lạc cho biết	来文称
Cục Truyền thông	来文系
Các tác giả	来文者
Bảng thông tin liên lạc	来文表
Thông tin liên lạc cần	来文要
Thông tin liên lạc	来文该
Thông tin liên lạc được yêu cầu	来文请
Chuyển giao thông tin liên lạc	来文转
Thông tin liên lạc có	来文载
Thông tin liên lạc đã	来文过
Thông tin liên lạc phải	来文须
Đến không xâm lấn	来无创
Hãy đến và chiến thắng	来智胜
Hãy đến và làm ấm cơ thể của bạn	来暖身
Letrozole	来曲唑
Thông tin liên lạc đến	来来文
Lượng nước đến	来水量
Đến để chữa bệnh.	来治好
Hãy đến Fargo.	来法戈
Đến để bơm nước	来泵水
Đến để bơm	来泵浦
Đến để bơm máu	来泵血
Có nguồn gốc từ	来源于
Nước xuất xứ	来源国
Để lọc thức ăn	来滤食
Hãy đến và chơi một	来玩个
Raffles	来福士
Súng trường	来福枪
Để tính toán	来算出
Đến để làm trắng	来美白
Đến nói chuyện	来聊天
Khách tham quan	来访者
Bên đến	来话方
Để đưa vào danh sách	来载列
Để đạt được điều này	来达此
Yang Chuantang	杨传堂
Yang Chuanhui	杨传辉
Yết Kiêu, Yết Kiêu.	杨依萨
Yang Baoling	杨保玲
Yang Yuanqing	杨元庆
Ông Dương	杨先生
Tỉnh Yanggang	杨冈省
Dương Phong Lan	杨凤兰
Yang Kaiheng	杨凯恒
Yang Liwei	杨利伟
Bác sĩ Dương	杨医生
Yang Bo cho	杨博为
Yang Carson	杨卡森
Yang và cựu	杨和前
Dương và Thi	杨和蒂
Yang Jiawei	杨嘉伟
Yang Kashing	杨嘉诚
Yang Guobin	杨国斌
Thành phố Dương Bình	杨坪市
Yang Daeshu	杨大助
Bà Dương	杨夫人
Yang Weili	杨威利
Dương Tử Lập	杨子立
Yang Xueshan	杨学善
Yang Yujun	杨宇军
Andy Yang	杨安迪
Yang Zongsheng	杨宗盛
Yang Baoyun	杨宝云
Yang Baoling	杨宝玲
Yang sẽ	杨将会
Cô Dương	杨小姐
Yang Xiyu	杨希雨
Yang Jianli	杨建利
Dương Đức Phú	杨德富
Yang Wenlu	杨文璐
Yang Chunlin	杨春林
Họ Salix	杨柳科
Gió liễu	杨柳风
Youngerson.	杨格森
Youngner.	杨格纳
Yang đang	杨正在
Thị trấn Yang Wu	杨武镇
Yang Yongqiang	杨永强
Yang Yongliang	杨永良
Yang Jiechi	杨洁篪
Yang Hongyi	杨洪义
Yang Qingpei	杨清培
Yang Huanning	杨焕宁
Yang Aimi	杨爱米
Dương Ngọc Đông	杨玉栋
Yang Yuhan	杨玉涵
Brigham Young	杨百翰
Yang Fuxi	杨福喜
Yang Xiuji	杨秀吉
Yang Soo Ju	杨秀珠
Yang Lixin	杨立新
Dương Tử Quỳnh	杨紫琼
Yang Jiangyu	杨绛于
Yang Jisheng	杨继胜
Amy Yang	杨艾米
Yang Yingzhi	杨英志
Dương Mậu Đông	杨茂东
Yang Rongwen	杨荣文
Yang Jinlin	杨锦麟
Yang Matt	杨马特
Trường THPT Chuyên Dương	杨高中
Thành phố Hàng Châu	杭州市
Các món ăn Hàng Bàng	杭帮菜
Hàng Đray	杭德雷
Tỉnh Hàng Khoai	杭爱省
Hoa cúc Hàng Bài	杭白菊
Bốn đội mạnh nhất Cúp	杯四强
Chiếc cốc được kéo sâu	杯拉深
Trong giá đựng cốc	杯架里
Tại buổi trình diễn Cúp	杯秀上
Cuộc chiến tranh cúp	杯而战
Jevanna.	杰万纳
Jerica.	杰丽卡
Geryl.	杰丽尔
Chiêu Vũ Vinh	杰乌荣
Jeshma	杰什马
Ceyhan	杰伊汉
Jelendai.	杰伦戴
Jaylen là	杰伦是
Jaylen cho biết	杰伦说
Jefferson.	杰佛逊
Jeffrey.	杰佛里
Jepperson.	杰佩森
Jackson.	杰克森
Jackson	杰克逊
Gerandi.	杰兰迪
Jenontin	杰农廷
Jelik.	杰利克
Jelib.	杰利卜
Jelita.	杰利塔
Jellis.	杰利斯
Jellyson.	杰利森
Jellico.	杰利科
Jerrity.	杰利蒂
Phương pháp Jenu	杰努法
Gerard	杰勒德
Jererson	杰勒森
Jewald.	杰华德
Jeb.	杰卜尔
Jekal.	杰卡尔
Jekabu.	杰卡布
Jeguzzo.	杰古佐
Gerhard	杰哈德
Jeha là	杰哈是
Jeha cho biết	杰哈说
Đảo Jetu	杰图岛
Jackie.	杰基中
Jackie sẽ	杰基会
Jackie sống	杰基住
Jackie Kay.	杰基凯
Jackie, đi đi.	杰基去
Jackie nói với	杰基向
Jackie có	杰基有
Jackie.	杰基欧
Jackie sử dụng	杰基用
Jackie Howe.	杰基豪
Jackie hỏi	杰基问
Jeselyn.	杰塞琳
Jeschat.	杰夏特
Geneina.	杰奈纳
Jacquez	杰奎兹
Jacquez.	杰奎斯
Jacqueline	杰奎琳
Jeol.	杰奥尔
James.	杰姆斯
Jenin nổi tiếng với	杰宁以
Jenin tới.	杰宁到
Quận Jenin	杰宁区
Thành phố Jenin	杰宁市
Jenin có	杰宁有
Tỉnh Jie Ning	杰宁省
Trại Jenin	杰宁营
Jeffers	杰富仕
Jeffrey.	杰富瑞
Gernon.	杰尔农
Jelbo.	杰尔博
Djelf	杰尔夫
Jelbin.	杰尔宾
Gerney.	杰尔尼
Gerby.	杰尔拜
German.	杰尔曼
Làng Jel	杰尔村
Gersson.	杰尔松
Cầu Djel	杰尔桥
Jerson.	杰尔森
Djerko	杰尔科
Ga Djel	杰尔站
Gerda.	杰尔达
Thị trấn Djel	杰尔镇
Jayus.	杰尤斯
Jenivan.	杰尼万
Zegna	杰尼亚
Jennifer.	杰尼弗
Genis.	杰尼斯
Jenisch	杰尼施
Jernigan	杰尼根
Jenilyn.	杰尼琳
Jennie cho biết	杰尼说
Jeb sẽ	杰布会
Khi Jeb	杰布时
Jebmi.	杰布米
Jeb Neng	杰布能
Hoa Jeb	杰布花
Jeb sai rồi.	杰布错
Jefferson	杰弗森
Jeffrey.	杰弗瑞
Jefferson.	杰弗考
Jefferson.	杰弗逊
Jeffrey.	杰弗里
Jeffrey.	杰弗雷
Jade sẽ	杰德会
Jade sống ở	杰德住
Jade.	杰德则
Jedney.	杰德尼
Jedson.	杰德森
Jedge.	杰德热
Jed sử dụng	杰德用
Jedre.	杰德雷
Jayne đã đóng góp cho	杰恩为
Jayne là	杰恩是
Jayne có	杰恩有
Jayne cho biết	杰恩说
Geral.	杰拉尔
Gerrard	杰拉德
Javens.	杰文斯
Jefferson	杰斐逊
Jester.	杰斯特
Đường Jemin.	杰明街
Jepke	杰普克
Jeppkay	杰普凯
Jeptu	杰普图
Jepto	杰普托
Jepsen	杰普森
Jegens	杰根斯
Jagel.	杰格尔
Jagdee.	杰格迪
Jagma.	杰格马
Jermec.	杰梅克
Jermelly.	杰梅利
Jermeca.	杰梅卡
Jermel.	杰梅尔
Jermaine.	杰梅恩
Jermena.	杰梅纳
Jason đã đóng góp cho	杰森为
Jason ở	杰森于
Jason sẽ	杰森会
Jason sống	杰森住
Jason Lee.	杰森利
Jason, đi đi.	杰森去
Jason Gee.	杰森吉
Jackie.	杰森奇
Jason Kui.	杰森奎
Jasonway.	杰森威
Jason Lane.	杰森巷
Jason Bu.	杰森布
Jason đưa	杰森带
Jason, mở ra.	杰森开
Phong cách Jason	杰森式
Jason muốn	杰森想
Jason Dai	杰森戴
Ngày Jason	杰森日
Jason có	杰森有
Jason Cha.	杰森查
Jason đã chết.	杰森死
Jasonby.	杰森比
Jason Wo.	杰森沃
Biển Jason	杰森海
Jason đã sử dụng	杰森用
Jason cười.	杰森笑
Jason Row.	杰森罗
Jason có thể	杰森能
Jason Sue.	杰森苏
Jason West.	杰森西
Jason, nói chuyện đi.	杰森谈
Jason Bay	杰森贝
Bên cạnh Jason.	杰森边
Jason Long.	杰森长
Jason hỏi	杰森问
Jason Tao.	杰森陶
Jason Mak.	杰森麦
Jay đã chết khi	杰死于
Jevaughn.	杰沃恩
Jello cho biết	杰洛说
Gezira	杰济拉
Trại Jaine	杰涅营
Jetson.	杰特森
Jeter cười.	杰特笑
Jetley.	杰特莱
Gemma ở	杰玛于
Jemma, đi đi.	杰玛去
Jemma gửi lời hỏi thăm tới	杰玛向
Gemma có	杰玛有
Jemarkau.	杰玛考
Jeremy.	杰瑞米
Jessup.	杰瑟普
Jewani	杰瓦尼
Jewana	杰瓦纳
Jewane	杰瓦讷
Jadenny.	杰登尼
Jeffords.	杰福兹
Jefford.	杰福德
Dzekova	杰科娃
Jekoshin	杰科申
Jessall.	杰索尔
Jessop	杰索普
Jenal.	杰纳尔
Janus.	杰纳斯
Jennat.	杰纳特
Gennaro	杰纳罗
Jervis.	杰维斯
Jero đã có mặt ở	杰罗在
Jerome	杰罗姆
Jeror.	杰罗尔
Geroni.	杰罗尼
Jerrod.	杰罗德
Jerome.	杰罗米
Jero cho biết	杰罗说
Jeyev	杰耶夫
Jayes.	杰耶斯
Âm thanh của Jeffin	杰芬声
Jerica.	杰莉卡
Jessamin.	杰萨明
Jessa cho biết	杰萨说
Đường Jetty	杰蒂路
Jessica.	杰西卡
Jebel	杰贝勒
Jerej.	杰赖杰
Jehler	杰赫勒
Jesinta.	杰辛塔
Bên ngoài Jesin.	杰辛外
Jessin cho biết	杰辛说
Jesinda.	杰辛达
Jermaeus.	杰迈斯
Jemima.	杰迈玛
Jedea.	杰迪亚
Jedir.	杰迪尔
Núi Jedi	杰迪山
Jediri.	杰迪里
Jericho.	杰里科
Jeremy.	杰里米
Jeggins.	杰金斯
Jakinson.	杰金森
Jerrell.	杰雷尔
Jereb.	杰雷布
Gerrera.	杰雷拉
Jeret.	杰雷特
Jeremy.	杰雷米
Jerena.	杰雷纳
Jeweather.	杰韦瑟
Jemal	杰马尔
Jemalon.	杰马隆
Jerus.	杰鲁斯
Jerusha.	杰鲁沙
Jeruda	杰鲁达
Song Yi Song	松一松
Matsuko Kenko	松健子
Song Li Bei	松利贝
Songar	松加尔
Thành phố Matsuhara	松原市
Thở thở phào nhẹ nhõm	松口气
Song và Thánh	松和圣
Máy xới đất	松土机
Huyện Sông Lô	松坡区
Song song với bóng	松将球
Sonnino	松尼诺
Matsuyama One	松山一
Cửa hàng Song Nham	松岩店
Matsuzaki hạ	松崎低
Thị trấn Matsuzaki	松崎町
Thư giãn để	松弛到
Phương pháp thư giãn	松弛法
Làng Song Mi	松弥村
Sông Đức Hà	松德河
Đội bóng Sông Ðức	松德队
Sông Chi Lăng	松志郎
Songolo	松戈洛
Thành phố Matsudo	松户市
Song ghi bàn	松打进
Một cách lỏng lẻo.	松散地
Loại lỏng lẻo	松散型
Lớp lỏng lẻo	松散层
Những tấm gỗ thông	松木板
Lơi lỏng, lỏng lẻo	松松地
Tuyến tùng	松果体
Tuyến tùng	松果腺
Cây tùng và cây bách	松柏类
Cành thông	松树枝
Song Gwa	松格瓦
Tảo lông thông	松毛藻
Sâu bướm thông	松毛虫
Matsu Nagaki	松永纪
Huyện Song Giang	松江区
Terpineene	松油烯
Ngõ Song Quan	松泉巷
Matsuzawa Ike	松泽池
Matsuura Ken	松浦健
Matsuura Akira	松浦晃
Nhựa thông	松焦油
Song Sonna	松索纳
Dây thun	松紧带
Sự chặt chẽ	松紧度
Nhựa thông	松节油
Sông Tùng Hoa	松花江
Phấn hoa thông	松花粉
Thành phố Matsudo	松藤市
Giải phóng	松解术
Khu vực bãi rác	松质区
Xương hủy	松质骨
Hiroshi Matsuno	松野裕
Nấm cục sẽ	松露会
Lễ hội nấm truffle	松露节
Nấm truffle	松露菌
Sâu xanh thông	松青虫
Dầu nhựa thông	松香油
Axit nhựa thông	松香酸
Khỉ sóc	松鼠猴
Ví dụ như Ban	板为例
Banlansu	板兰素
Những tấm ván và những tấm	板和板
Tấm và giấy bạc	板和箔
Trận đấu ngày hội bảng	板日赛
Thùng	板条箱
Cây dẻ	板栗树
Banyukawa	板源川
Sông Ban Yuen	板源河
Với khuôn mặt nghiêm khắc	板着脸
Phần cuối của tấm	板端部
Hệ thống Ban	板系统
Cấu trúc tấm	板结构
Loại vây tấm	板翅式
Vây tấm	板翅片
Banlangen	板蓝根
Con rồng chân ván	板足龙
Kim loại tấm	板金工
Bàn Môn Điếm	板门店
Cực kỳ miễn nhiễm	极不受
Cực kỳ miễn cưỡng	极不愿
Rất cá biệt	极个别
Tuyệt vời.	极可意
Cực hữu	极右派
Cực hữu	极右翼
