Một chút thôi.	一下
Hằng tháng,	每月
Mỗi lần	每次
Ngòi độc	毒刺
Chất độc	毒剂
Ma túy	毒品
Chất độc	毒害
Ông trùm ma túy	毒师
Độc tính	毒性
Đánh đập dã man	毒打
Trùm ma túy	毒枭
Chủng độc tố	毒株
Đầu độc chết người	毒死
Khí độc	毒气
Dòng sông độc	毒河
Nọc độc	毒液
Nanh nanh	毒牙
Chất độc	毒物
Tội phạm ma túy	毒犯
Khối u ác tính	毒瘤
Nghiện ma túy	毒瘾
Độc tố	毒素
Chất độc	毒药
Rắn độc	毒蛇
Ếch nhiễm độc	毒蛙
Những kẻ buôn bán ma túy	毒贩
Tiền ma túy	毒资
Rượu độc	毒酒
Mồi độc	毒饵
Bia	比亚
Bish.	比什
So sánh giá cả	比价
Bieber.	比伯
Tỷ lệ	比例
Tỷ lệ	比值
Bick.	比克
Tỷ số	比分
Những cử chỉ	比划
Billy.	比利
Phép ẩn dụ	比喻
Hơn so với đê điều.	比堤
Bích	比奇
Bio	比奥
Chẳng hạn như	比如
Biên	比安
Bill.	比尔
Bini.	比尼
Beaver	比弗
Bidder	比德
Biên	比恩
Thân Văn	比文
Bis	比斯
Big.	比格
Hơn so với cảng.	比港
Nhiệt lượng riêng	比热
Các bit	比特
Tỷ lệ	比率
Biden	比登
Đồng peso	比索
Bissau	比绍
Bánh pizza	比萨
Beatty	比蒂
Hơn so với đường phố.	比街
Pinot	比诺
Cuộc thi	比赛
So sánh	比较
Trọng lượng riêng	比重
Hơn so với vàng.	比金
Hơn so với thị xã.	比镇
Beaton	比顿
Quy mô	比额
Tốt nghiệp	毕业
Bibby.	毕比
Xét cho cùng,	毕竟
Lợi nhuận gộp	毛利
Những gờ	毛刺
Lông tóc	毛发
Nang lông	毛囊
Khoảng trống	毛坯
Maugham	毛姆
Lỗ chân lông	毛孔
Khăn khăn	毛巾
Mullah	毛拉
Tổn thương tóc	毛损
Nỉ	毛毡
Chăn	毛毯
Maute	毛特
Bóng tóc	毛球
Những vấn đề bất cập	毛病
Lông thú	毛皮
Bàn chải	毛笔
Sợi len	毛线
Sang trọng	毛绒
Ranunculus	毛茛
Ngao	毛蚶
Áo len	毛衣
Tổng số đo	毛计
Đậu nành	毛豆
Maury.	毛里
Tổng trọng lượng	毛重
Trán tổng	毛额
Con lừa	毛驴
Làm bằng nỉ	毡制
Giấy nỉ	毡纸
Miligam	毫克
Mililit	毫升
Mili giây	毫秒
Milimet	毫米
Dưới lớp chăn	毯下
Chăn	毯子
Thị tộc	氏族
Bệnh của	氏病
Vi khuẩn của	氏菌
Dân chủ	民主
Dân sự	民事
Người dân	民众
Văn hóa dân gian	民俗
Dân quân tự vệ	民兵
Lực lượng dân quân	民团
Nhà ở dân cư	民宅
Homestay	民宿
Nhà ở của người dân	民居
Dư luận xã hội	民意
Sự phẫn nộ của người dân	民愤
Công tác dân vận	民政
Các dân tộc	民族
Quyền công dân	民权
Dân ca ví, giặm	民歌
Luật Dân sự	民法
Sinh kế của người dân	民生
Civil & Civil	民用
Liên đoàn Dân chủ	民盟
Hàng không dân dụng	民航
Cảnh sát dân sự	民警
Các cuộc thăm dò ý kiến	民调
Những bản ballad	民谣
Dân cử	民选
Dân gian	民间
Phòng vệ dân sự	民防
Khí đốt	气体
Khí hậu	气候
Khí nén	气动
Động lực	气势
Khí hóa	气化
Áp suất không khí	气压
Mùi hương	气味
Túi khí	气囊
Khí khổng	气孔
Thể khí	气态
Hơi thở	气息
Lốc xoáy	气旋
Không khí đến	气来
Súng hơi	气枪
Tinh thần	气概
Không khí	气氛
Bong bóng	气泡
Bơm không khí	气泵
Phong cách	气派
Luồng không khí	气流
Nhiệt độ không khí	气温
Bóng bay	气球
Bình gas	气瓶
Các mỏ khí đốt	气田
Khí quản	气管
Xylanh	气缸
Bình gas	气罐
Khí tượng học	气象
Khí chất	气质
Đường thở	气道
Khối lượng không khí	气量
Van điều hòa	气门
Khoá khí	气闸
Khe hở không khí	气隙
Chán nản	气馁
Không khí	氛围
Muối Flo	氟盐
Fluorit	氟石
Fluorobenzene	氟苯
Quá trình hydro hóa	氢化
Bom khinh khí	氢弹
Khí hydro	氢气
Ester hydro	氢酯
Canxi hydro	氢钙
Natri hydro	氢钠
Kali hydro	氢钾
Amoni hydro	氢铵
Khí heli	氦气
Quá trình oxy hóa	氧化
Oxy	氧气
Nitơ amoniac	氨氮
Axit amin	氨酸
Nitơ	氮气
Chlordane	氯丹
Chloroform	氯仿
Clo hóa	氯化
Khí clo	氯气
Chlorobenzene	氯苯
Chlorophenol	氯酚
Amoni clorua	氯铵
Cyanamit	氰胺
Trên mặt nước	水上
Dưới nước	水下
Trong nước	水中
Vấn đề nước	水事
Giếng nước	水井
Giá nước	水价
Mực nước	水位
Các vùng nước	水体
Người thủy thủ	水兵
Nước đá	水冰
Mức độ	水准
Độ ẩm	水分
Lướt ván nước	水刑
Công trình thủy lợi	水利
Thủy lực	水力
Các vấn đề về nước	水务
Thủy hóa	水化
Khu vực nước	水区
Sự nở hoa của nước	水华
Nhà máy nước	水厂
Áp lực nước	水压
Sự ngậm nước	水合
Nước thì sao?	水吧
Nước uống	水喝
Máy nước	水器
Những vũng nước	水坑
Các đập thủy điện	水坝
Vùng nước	水域
Cơ sở nước	水基
Tháp nước	水塔
ấm đun nước	水壶
Tác hại của nước	水害
Tầng nước	水层
Mức độ	水平
Hồ chứa nước	水库
Thủy quái	水怪
Trận thủy chiến	水战
Thủy thủ	水手
Thủy văn;	水文
Ngày nước	水日
Sao Thủy	水星
Cảnh quan vùng nước	水景
Tinh thể	水晶
Hệ thống ống nước	水暖
Trái cây	水果
Súng bắn nước	水枪
Cột nước	水柱
Mẫu nước	水样
Xô nước	水桶
Chậu rửa	水槽
Sứa biển	水母
Tỷ lệ nước	水比
Hồ bơi	水池
Mương nước	水沟
Những vết phồng rộp	水泡
Xi măng	水泥
Máy bơm nước	水泵
Đường hầm dẫn nước	水洞
Dòng chảy	水流
Tắm nước	水浴
Ngập lụt	水浸
Độ sâu của nước	水深
Ngập lụt	水淹
Nhiệt độ nước	水温
Nguồn nước	水源
Những giọt nước	水滴
Lũ lụt	水灾
Thuốc lào	水烟
Con trâu	水牛
Rái cá	水獭
Những chai nước	水瓶
Thủy sản	水生
Thủy điện	水电
Spa	水疗
Bệnh thủy đậu	水痘
Chim nước	水禽
Lúa gạo	水稻
Đường ống dẫn nước	水管
Bể chứa nước	水箱
Bình đựng nước	水罐
Mạng lưới nước	水网
Phù nề	水肿
Thủy điện	水能
Lễ hội té nước	水节
Những tia nước	水花
Cải xoong	水芹
Cây thủy sinh	水草
Daphnia	水蚤
Rắn nước	水蛇
đỉa	水蛭
Hydra	水螅
Anaconda	水蟒
Thủy phân	水解
Cá heo nước	水豚
Chồn hương	水貂
Chất lượng nước	水质
Tiền nước	水费
đường thủy	水路
Bánh xe nước	水车
Bánh xe nước	水轮
Miệng nước	水边
Giao thông đường thủy	水运
Đường thủy	水道
Trong nước.	水里
Lượng nước	水量
Thủy ngân	水银
Các cống	水闸
Thủy lôi	水雷
Mặt nước	水面
Bánh bao	水饺
Chim nước	水鸟
Vịt nước	水鸭
Chuột nước	水鼠
Vĩnh viễn	永久
Vĩnh biệt	永别
Sống mãi với thời gian	永存
Vĩnh cửu	永恒
Cuộc sống bất tử	永生
Mãi mãi	永远
Nước ép	汁液
Yêu cầu bồi thường	求偿
Đề nghị trợ giúp	求助
Đi khám bệnh	求医
Tìm kiếm sự thay đổi	求变
Tổng kết	求和
Lời cầu hôn	求婚
Học tập	求学
Tìm kiếm sự thật	求实
Lời kêu gọi	求情
Yêu cầu trợ giúp	求援
Kêu cứu.	求救
Xin lời khuyên	求教
Sự tán tỉnh	求爱
Sự sống còn	求生
Tìm kiếm việc làm	求职
Mua sắm	求购
Cầu xin lòng thương xót	求饶
Trao đổi	汇兑
Hội tụ	汇合
Tóm tắt	汇总
Báo cáo	汇报
Kiều hối	汇款
Chương trình biểu diễn	汇演
Tỷ giá hối đoái	汇率
Biên soạn	汇编
Tiết mục	汇辑
Tập hợp	汇集
Han Lun	汉伦
Hank.	汉克
Hanz	汉兹
Hanley.	汉利
HÀ NAM	汉南
Thành phố Seoul	汉城
Bánh mì kẹp thịt	汉堡
Hàm	汉姆
Hannah.	汉娜
Hanning	汉宁
Hansen.	汉森
Hanna.	汉纳
Mồ hôi	汗剂
Những giọt mồ hôi	汗水
Áo lót	汗衫
Xấu hổ.	汗颜
Đèn thủy ngân	汞灯
Giang Tô	江苏
Trong hồ bơi	池中
Ao nuôi	池塘
Hồ bơi	池子
Bên hồ bơi	池边
Rùa hồ bơi	池龟
Sự kỳ thị	污名
Bụi bẩn	污垢
Những vết nhơ	污损
Ô nhiễm	污染
Nước bị ô nhiễm	污水
Bùn thải	污泥
Vết bẩn	污渍
Những vết nhơ	污点
Sự bẩn thỉu	污秽
Sự vu khống	污蔑
Tonga	汤加
Chiếc thìa canh	汤匙
Cơm nắm	汤圆
Tom.	汤姆
Townsend	汤森
Tommy.	汤米
Các loại súp	汤类
Bột canh	汤粉
Hóa hơi	汽化
Nước ngọt	汽水
Xăng dầu	汽油
Xylanh	汽缸
Những chiếc xe	汽车
Wowy	沃伊
Warren.	沃伦
Walker.	沃克
Waller.	沃勒
Mảnh đất màu mỡ	沃土
Bức Tường	沃尔
Thành phố Võ	沃市
Ward	沃德
Worth.	沃思
Vaughan	沃恩
Vora.	沃拉
Voss	沃斯
Võ Mạnh	沃曼
Võ Lâm	沃林
Wogan.	沃根
Watson.	沃森
Nước	沃特
Warden	沃登
Werner.	沃纳
Vaucan	沃肯
Watts	沃茨
Worthy.	沃西
Võ Kim	沃金
Wharton	沃顿
Thẩm Lượng	沈亮
Thẩm Châu	沈周
Sự im lặng	沉寂
Chiêm nghiệm	沉思
Chìm trong biển nước	沉没
Chìm nghỉm	沉沦
Những thăng trầm	沉浮
Đắm mình trong	沉浸
Sự lắng đọng	沉淀
Bình tĩnh	沉着
Ngủ say	沉睡
Sự lắng đọng	沉积
Vụ chìm tàu	沉船
Nghiện ngập	沉迷
Nặng nề.	沉重
Chán nản	沉闷
Sự sụt lún	沉降
Trầm hương	沉香
Sự im lặng	沉默
Tắm	沐浴
Những đụn cát	沙丘
Shaq	沙克
Shaka	沙卡
Ghế sofa	沙发
Nước sốt	沙司
Vùng đất cát	沙地
Hố cát	沙坑
Cát	沙子
Đảo cát	沙岛
Sa Pa	沙巴
Thành phố Cát	沙市
Shad	沙德
Salad	沙拉
Shai Xing	沙星
Sarin	沙林
Seabuckthorn	沙棘
Bãi cát	沙洲
Bãi cát	沙滩
Đồng hồ cát	沙漏
Sa mạc	沙漠
Lửa cát	沙火
A-rập Xê-út	沙特
Sa hoàng	沙皇
Hộp cát	沙盒
Bệnh mắt hột	沙眼
Sỏi cát	沙砾
Shatz	沙茨
Bao cát	沙袋
Shah	沙阿
Tác phẩm điêu khắc trên cát	沙雕
Cá cát	沙鱼
Chuột nhảy	沙鼠
Thẩm mỹ viện	沙龙
Khe núi	沟壑
Các rãnh	沟槽
Những con mương	沟渠
Thông tin liên lạc	沟通
Trong mương nước	沟里
Không sao đâu.	没事
Không có ở đây.	没到
Không thay đổi.	没变
Không mang theo	没带
Tịch thu	没收
Không có gì.	没有
Không đến.	没来
Không có tác dụng.	没用
Không đời nào.	没门
Để ráo nước	沥干
Để rửa trôi	沥滤
Nhựa đường	沥青
Sự sụp đổ của	沦陷
Bức xúc	沮丧
Giữa dòng sông	河中
Hà Nội	河内
Cửa sông	河口
Bờ sông	河岸
Hà Châu	河州
Lòng sông	河床
Quang cảnh sông nước	河景
Đoạn sông	河段
Nước sông	河水
Các dòng sông	河流
Bên bờ sông	河畔
Thung lũng sông	河谷
Cá nóc	河豚
Bên dòng sông	河边
Trong dòng sông	河里
Hà mã	河马
Nước sôi	沸水
Điểm sôi	沸点
Zeolit	沸石
Sôi sục	沸腾
Trên dầu	油上
Giếng dầu	油井
Người dầu mỏ	油人
Giá dầu mỏ	油价
Mức dầu	油位
Các tác nhân dầu	油剂
Các mặt hàng dầu	油品
Mực in	油墨
Thước đo dầu	油尺
Tấm bạt	油布
Kho chứa dầu	油库
Các loại dầu	油料
Quầy bột chiên	油条
Trái cây có dầu	油果
Quả xuân đào	油桃
Vải sơn	油毡
Dầu khí	油气
Ô nhiễm dầu	油污
Bơm dầu	油泵
Cảng dầu	油港
Sơn	油漆
Đèn dầu	油灯
Chiên	油炸
Các mỏ dầu	油田
Tranh sơn dầu	油画
Cát dầu	油砂
Ống dẫn dầu	油管
Bình xăng	油箱
Các loại dầu	油类
Hạt có dầu	油籽
Giấy dầu	油纸
Mức tiêu thụ nhiên liệu	油耗
Dầu mỡ	油脂
Dầu mỡ	油腻
Hiếp dâm	油菜
Tàu chở dầu	油轮
Axit oleic	油酸
Lượng dầu	油量
Tăng ga	油门
Bánh dầu	油饼
An ninh trật tự	治安
Chữa bệnh	治愈
Quản trị	治理
Việc điều trị	治疗
Chữa bệnh	治病
Sự kết tội	治罪
đồng hoang	沼地
Khí sinh học;	沼气
đầm lầy	沼泽
Đầm lầy Harrier	沼鹞
Dọc bờ biển	沿岸
Bờ biển	沿海
Diễn biến	沿革
Sự rò rỉ	泄密
Chán nản	泄气
Xả lũ	泄洪
Rò rỉ	泄漏
Rò rỉ	泄露
Nước suối	泉水
Bến bãi	泊位
Bãi đỗ xe	泊车
Pháp và Trung Quốc	法中
Các pháp nhân	法人
Nghị định	法令
Faye	法伊
Fallon	法伦
Faber.	法伯
Luật pháp	法例
Mặt bích	法兰
Bộ luật	法典
Luật	法则
Hệ thống pháp luật	法制
Pháp y	法医
Tổng công ty	法团
Nước Pháp	法国
Quyền tài phán	法域
Fife.	法夫
Luật học	法学
Thẩm phán	法官
Theo luật định.	法定
Vũ khí ma thuật	法宝
Farr.	法尔
Fache	法希
Tòa án	法庭
Luật	法律
Fargo.	法戈
Farah.	法拉
Tiếng Pháp	法文
Fass	法斯
Phép thuật	法术
Farin	法林
Dự luật	法案
Cây gậy Pháp	法棍
Nhà nước pháp quyền	法治
Luật học	法理
Faso	法索
Pháp luật mở rộng	法网
Farrow.	法罗
Pharaoh	法老
Quy định về	法规
Cảnh sát trưởng.	法警
Pháp y	法证
Tiếng Pháp	法语
Fano.	法诺
Franc	法郎
Farry.	法里
Tòa án	法院
Farmer.	法默
Ngập lụt	泛滥
Đỏ lên	泛红
Câu lạc bộ	泡吧
Bốc nồi canh	泡汤
Bong bóng	泡沫
Bong bóng	泡泡
Tắm nước	泡澡
Sủi bọt	泡腾
Pha trà	泡茶
Kim chi	泡菜
Bosh	波什
Pollan	波伦
Ba Lan	波兰
Polly	波利
Biến động	波动
Poller	波勒
Thành phố Phố	波城
Bonin	波宁
Boer	波尔
Đỉnh sóng	波峰
Pod	波德
Bonn	波恩
Những khúc quanh, khúc khuỷu	波折
Paula.	波拉
Ba Tư	波斯
Pope	波普
Chùm tia	波束
Pauline	波林
Posen.	波森
Băng tần	波段
Bobby.	波比
Những con sóng	波浪
Sóng gió	波澜
Porter.	波特
Những gợn sóng	波纹
Potts	波茨
Posey.	波西
Bono	波诺
Thung lũng của sóng	波谷
Bước sóng	波长
Boeing	波音
Bolton	波顿
Chiều cao sóng	波高
Bosnia và Herzegovina	波黑
Trong bùn đất	泥中
Bùn đất	泥土
Bùn	泥巴
Trầm tích	泥沙
Bùn lầy	泥沼
Bùn lầy	泥泞
Bùn đất	泥浆
Tắm bùn	泥浴
Bãi bồi	泥滩
Bãi lầy	泥潭
Than bùn	泥炭
Gạch bùn	泥砖
Trong bùn đất	泥里
Chạch chạch	泥鳅
Rùa bùn	泥龟
Việc tiêm	注入
Việc đăng ký	注册
Việc tiêm	注射
Chú ý đến	注意
Ghi chú	注明
Việc bơm nước vào	注水
Chú thích cuối trang	注脚
Nhìn chằm chằm	注视
Ghi chú	注解
Ghi chú	注记
Việc rót vốn	注资
Ghi chú	注释
Tập trung vào	注重
Hủy bỏ	注销
Những giọt nước mắt	泪水
Tài	泰伊
Tetz.	泰兹
Thái Thiết	泰切
Tyree.	泰利
Tyler	泰勒
Thái Lan	泰国
Titan	泰坦
Tell.	泰尔
Núi Thần Tài	泰山
Tetcher.	泰彻
Ted.	泰德
Tyra.	泰拉
Muay Thái	泰拳
Thái Lan	泰文
Tyson.	泰森
Tate	泰特
Tyner.	泰纳
Taylor.	泰罗
Teddy.	泰迪
Đồng baht Thái Lan	泰铢
Ty Long	泰隆
Những vận động viên bơi lội	泳客
Hồ bơi	泳池
Bãi biển	泳滩
Đồ tắm	泳衣
Đồ bơi	泳装
Quần bơi	泳裤
Bơm	泵送
đầm phá	泻湖
Thuốc nhuận tràng	泻药
Những con chuột chù	泼妇
Nước bắn tung tóe	泼水
Tạt axít	泼酸
Zeta	泽塔
Zell	泽尔
Zet	泽特
Zener	泽纳
Jersey	泽西
Di cư	洄游
Bọn Yankees.	洋基
Yoko.	洋子
đáy đại dương	洋底
Các rặng núi đại dương	洋脊
Hành tây	洋葱
Atisô	洋蓟
Rải vải	洒布
Vòi phun nước	洒水
Rắc để sử dụng	洒用
Rửa sạch	洗净
Rửa sạch	洗刷
Kem dưỡng da	洗剂
Vụ lục soát	洗劫
Gội đầu	洗头
Rửa tay	洗手
Rửa sạch	洗掉
Dầu rửa	洗油
Giặt giũ	洗涤
Kem dưỡng da	洗液
Rửa sạch	洗清
Rửa sạch	洗漱
Tắm rửa	洗澡
Xáo trộn bài	洗牌
Tẩy trắng	洗白
Rửa bát đĩa	洗碗
Lễ rửa tội	洗礼
Tẩy não	洗脑
Rửa chân	洗脚
Rửa giải	洗脱
Rửa mặt	洗脸
Giặt giũ	洗衣
Rửa xe	洗车
Rửa tiền	洗钱
Loew	洛伊
Locke	洛克
Lorraine.	洛兰
Loggy.	洛吉
Loki.	洛基
Lotta.	洛塔
Tình yêu	洛夫
Rocky	洛奇
Lohr.	洛尔
Loni.	洛尼
Lob.	洛布
Chúa ơi.	洛德
Los	洛斯
Lorraine.	洛林
Logan.	洛根
Lausanne	洛桑
Lovo.	洛沃
Lott	洛特
Lome.	洛美
Lotz	洛茨
Lottie.	洛蒂
Lossi.	洛西
Lori.	洛里
Loma.	洛马
Cửa hang	洞口
Cái nhìn sâu sắc	洞察
Hang động	洞穴
Trong hang động	洞里
Zink.	津克
Zimba.	津巴
Các khoản phụ cấp	津贴
Đỉnh lũ	洪峰
Lũ lụt	洪水
Dòng nước chảy xiết	洪流
Lũ lụt	洪灾
Sinh sống	活产
Người sống	活人
Sức sống	活力
Các hoạt động	活动
Kích hoạt	活化
Chôn sống	活埋
Piston	活塞
Hoạt động	活度
Hoạt động	活性
Bắt sống	活捉
Sinh thiết	活检
Sống động.	活泼
Bò sống	活牛
Khỉ sống	活猴
Động vật sống	活畜
Để sống	活着
Nút thắt	活结
Cừu sống	活羊
Sinh sống	活胎
Xứng đáng với điều đó	活该
Hoạt động tích cực	活跃
Khối lượng công việc	活重
Cửa trập	活门
Ngựa sống	活马
Cá sống	活鱼
Gà sống	活鸡
Các tỉnh vùng lõm	洼省
Các cuộc đàm phán	洽谈
Việc phân công	派任
Pike.	派克
Công văn gửi	派出
Các phe phái	派别
Những bữa tiệc	派对
Pyle.	派尔
Pine.	派恩
Trả cổ tức	派息
Phai Ang	派昂
Pat.	派特
Piper.	派珀
Perry.	派瑞
Xuất phát từ	派生
Các phe phái	派系
Công văn	派送
Công văn	派遣
đóng quân tại	派驻
Chảy xuống	流下
Sống lưu vong	流亡
Phá thai	流产
Sự lan tỏa	流传
Chất lỏng	流体
Dòng chảy vào	流入
Dòng chảy	流出
Thông thạo	流利
Dòng chảy	流动
Dòng chảy	流向
Mô hình dòng chảy	流型
Lưu vực sông	流域
Mất mát	流失
Bệnh cúm	流感
Sống lưu vong	流放
Sự phân tán	流散
Lumen	流明
Sao băng	流星
Những kẻ côn đồ	流氓
Mồ hôi nhễ nhại	流汗
Cát lún	流沙
Những giọt nước mắt	流泪
Thể loại	流派
Lang thang	流浪
Dòng chảy	流淌
Tốc độ dòng chảy	流率
Sử dụng dòng chảy	流用
Mượt mà.	流畅
Quá trình	流程
Dòng chảy qua	流经
Tua rua	流苏
Chảy mật ong	流蜜
Chảy máu	流血
Dịch bệnh	流行
Những tin đồn thất thiệt	流言
Lưu thông	流转
Chảy qua	流过
Lưu thông	流通
Thời gian trôi qua	流逝
Tốc độ dòng chảy	流速
Giao thông	流量
Tiết lộ	流露
Lớp nông	浅层
Bãi cạn	浅滩
Bùn	浆料
Quả mọng	浆果
Bùn	浆液
Các lớp phủ	浇头
Tưới nước	浇水
đổ	浇注
Dập tắt	浇灭
Khai thác gỗ	测井
Lập bản đồ	测图
Xác định	测定
Giải trình tự	测序
Thước đo	测度
Âm thanh	测深
đo đạc và bản đồ	测绘
Kiểm tra	测试
Sự khác biệt	测距
Đo lường	测量
Câu đố	测验
Tế Nam	济南
Jeju	济州
Duyệt qua	浏览
Nước đục ngầu	浑水
đục ngầu	浑浊
Dày đặc	浓厚
Trang điểm đậm	浓妆
Dày đặc	浓密
Nồng độ	浓度
Nước dùng đặc	浓汤
Khói dày đặc	浓烟
Tập trung	浓缩
Sự phong phú	浓郁
Sương mù dày đặc	浓雾
Chiết Giang	浙江
Gấu trúc	浣熊
Thảm họa	浩劫
Làn sóng dâng cao	浪涌
Lãng mạn	浪漫
Làn sóng	浪潮
Những con sóng	浪花
Lãng phí	浪费
Sức nổi	浮力
Nổi	浮动
Hào nhoáng	浮华
Sự phô trương	浮夸
Phao nổi	浮子
Xác chết trôi nổi	浮尸
Phao	浮标
Vết dầu loang	浮油
Váng	浮渣
Lặn với ống thở	浮潜
Sự nổi lên của	浮现
Phao nổi	浮筒
Bọng mắt	浮肿
Nổi lên	浮起
Tuyển nổi	浮选
Phù điêu	浮雕
Nhà tắm	浴场
Phòng tắm	浴室
Màn tắm	浴帘
Bồn tắm	浴池
Bồn tắm	浴盆
Bồn tắm	浴缸
Áo choàng tắm	浴袍
Trên biển	海上
Giữa biển khơi	海中
Hàng hải	海事
Hồi	海伊
Helen.	海伦
Hải quan	海关
Hải quân	海军
Băng biển	海冰
Haley.	海利
Hải Lê	海勒
Khu vực biển	海区
Hải sâm	海参
Người đi biển	海员
Sóng thần	海啸
Hein	海因
Biểu đồ	海图
Haiti	海地
Các vùng biển	海域
đê biển	海堤
Ở nước ngoài	海外
Heim	海姆
Haier	海尔
Hải Sơn	海山
Bờ biển	海岸
Eo biển	海峡
Vách đá biển	海崖
đáy biển	海床
Dưới đáy đại dương	海底
Hyde	海德
Quái vật biển	海怪
Hải Yến	海恩
Trận hải chiến	海战
Áp phích	海报
Độ cao	海拔
Hải Vân	海文
Hayes.	海斯
Hải Minh	海明
Sao biển	海星
Quang cảnh biển	海景
Hyman	海曼
Nước biển	海水
Rãnh	海沟
Haifa	海法
Đại dương	海洋
Hải Đông	海洞
Dòng hải lưu	海流
Sóng biển	海浪
Cảng biển	海港
Vịnh	海湾
Bên bờ biển	海滨
Bãi biển	海滩
Hải Yến	海燕
The Hague	海牙
Lợn biển	海牛
Hải cẩu	海狗
Sư tử biển	海狮
Hải ly	海狸
Rái cá biển	海獭
Vua biển	海王
Hayden	海登
Muối biển	海盐
Cướp biển	海盗
Bọt biển	海绵
Haye.	海耶
Nhím biển	海胆
Tàu biển	海船
Cỏ biển	海草
Hayley.	海莉
Chôn cất trên biển	海葬
Hải quỳ	海葵
Heidi.	海蒂
Rong biển	海藻
Rắn biển	海蛇
Ốc xà cừ	海螺
Mũi đất	海角
Cảnh sát biển	海警
Thử nghiệm trên biển	海试
Cá heo	海豚
Hải mã	海象
Hải cẩu	海豹
Vịnh Hải	海贝
Đường biển	海路
Tàu biển	海轮
Bên bờ biển	海边
Vận chuyển bằng đường biển	海运
Buổi thử giọng	海选
Các tuyến đường biển	海道
Biển khơi	海里
Vụ đắm tàu	海难
Cá nóc biển	海雀
Đại bàng biển	海雕
Mặt biển	海面
Ascidians	海鞘
Haydn	海顿
Cá ngựa	海马
Cá biển	海鱼
Thủy sản	海鲜
Cá tráp biển	海鲷
Cá chình biển	海鳗
Chim biển	海鸟
Chim mòng biển	海鸥
Đại bàng biển	海鹰
Rồng biển	海龙
Rùa biển	海龟
Rửa trôi	浸出
Ngâm mình	浸泡
Sự xâm nhập	浸润
Ngâm tẩm	浸渍
Chiết xuất	浸膏
Ngâm mình trong	浸透
Vẽ lên	涂上
Lớp phủ	涂层
Lớp phủ	涂布
Việc bôi bẩn	涂抹
Sơn phủ	涂料
Bôi dầu	涂油
Sơn	涂漆
Xôi thiu	涂片
Tô màu	涂色
Lớp phủ	涂装
Lớp phủ	涂覆
Graffiti	涂鸦
Nelly	涅利
Niết bàn	涅槃
Cái chết của	消亡
Việc cắt giảm	消减
Tiêu hóa	消化
Biến mất	消失
Thông điệp	消息
Tiêu tan	消散
Giải nhiệt	消暑
Tiêu cực	消极
Khử trùng	消毒
Khử bọt	消泡
Tiêu diệt	消灭
Giảm cân	消瘦
Mức tiêu thụ	消耗
Giảm sưng tấy	消肿
Cắt bỏ	消融
Giải thể	消解
Mức tiêu thụ	消费
Lụt lè	消退
Mất dần	消逝
Thú tiêu khiển	消遣
Phòng cháy chữa cháy	消防
Loại bỏ	消除
Sự im lặng	消音
Các vấn đề liên quan	涉事
Liên quan đến	涉及
Liên quan đến vụ án	涉案
Liên quan đến ma túy;	涉毒
Lội lội	涉水
Dòng người đổ về	涌入
Phun trào ra ngoài	涌出
Sự dâng trào	涌动
Những cơn sóng dâng cao	涌浪
Thủy triều dâng cao	涌潮
Sự nổi lên của	涌现
Những gợn sóng	涟漪
Vòng xoáy	涡旋
Dòng xoáy	涡流
Tua bin	涡轮
Polyester	涤纶
Làm ẩm	润湿
Bôi trơn	润滑
Đánh bóng	润色
Việc tăng giá	涨价
Xu hướng tăng	涨势
Sự gia tăng	涨幅
Thủy triều dâng cao	涨潮
Lên xuống thất thường	涨跌
Mức độ chất lỏng	液位
Chất lỏng	液体
Hóa lỏng	液化
Thủy lực	液压
Chất lỏng	液态
Nitơ lỏng	液氮
Những giọt bắn	液滴
Lượng chất lỏng	液量
Ý nghĩa	涵义
Các cống	涵洞
Bao gồm	涵盖
Tinh bột	淀粉
Tắm vòi hoa sen	淋浴
ướt sũng	淋湿
Bệnh lậu	淋病
Thưa quý cô.	淑女
Nghịch ngợm	淘气
Loại bỏ	淘汰
Cơn sốt vàng	淘金
Mờ dần đi	淡出
Pha loãng	淡化
Nước ngọt	淡水
Thấp thỏm	淡薄
Phù sa	淤泥
Sự bồi lắng	淤积
Vết bầm tím	淤青
Những kẻ mại dâm	淫媒
Tục tĩu	淫秽
Dâm ô	淫邪
Dập tắt	淬火
Đi vào chiều sâu	深入
đóng băng sâu	深冻
Sâu sắc.	深刻
Đi sâu vào chiều sâu	深化
Sâu sắc và sâu sắc.	深厚
Thâm Quyến	深圳
Sâu trong lòng đất	深处
Đêm khuya	深夜
Chiều sâu	深度
Suy nghĩ sâu sắc	深思
Tình cảm sâu nặng	深情
Đào sâu	深挖
Vùng nước sâu	深水
Sâu lắng	深沉
độ sâu và độ nông	深浅
Biển sâu	深海
Vực thẳm	深渊
Lặn sâu	深潜
Không gian sâu thẳm	深空
Sâu sắc, sâu sắc.	深远
Nghiên cứu sâu hơn	深造
Phần sâu	深部
Lộn xộn	混乱
Trộn lẫn	混合
Vụ ẩu đả	混战
Hỗn hợp	混料
Hỗn hợp	混杂
Trường học hỗn hợp	混校
Sự hỗn loạn	混沌
Lúng túng	混淆
Các đối tượng xã hội đen	混混
Trộn lẫn	混溶
Hỗn hợp	混物
Pha bóng lộn xộn	混球
Hỗn hợp sử dụng	混用
Pha trộn	混纺
Thằng khốn.	混蛋
Hỗn hợp máu	混血
